category,title,description,upvotes,has_images,hour,area,priority
garbage,Garbage issue in Koramangala,garbage not collected for many days. This is happening in Koramangala near the landmark.,20,0,11,Koramangala,medium
garbage,Garbage issue in Whitefield,garbage not collected for many days. This is happening in Whitefield near the landmark.,21,1,11,Whitefield,medium
garbage,Garbage issue in Koramangala,smell coming from garbage dump. This is happening in Koramangala near the landmark.,6,0,4,Koramangala,medium
garbage,Garbage issue in Jayanagar,illegal dumping of waste near lake. This is happening in Jayanagar near the landmark.,28,1,2,Jayanagar,high
garbage,Garbage issue in Whitefield,illegal dumping of waste near lake. This is happening in Whitefield near the landmark.,21,1,13,Whitefield,medium
garbage,Garbage issue in Jayanagar,uncollected waste attracting dogs. This is happening in Jayanagar near the landmark.,32,0,7,Jayanagar,high
garbage,Garbage issue in Whitefield,bin overflow near apartment. This is happening in Whitefield near the landmark.,12,0,23,Whitefield,medium
garbage,Garbage issue in Jayanagar,waste scattered on sidewalk. This is happening in Jayanagar near the landmark.,16,0,19,Jayanagar,medium
garbage,Garbage issue in Koramangala,public bin is full and kachra is spilling. This is happening in Koramangala near the landmark.,10,1,12,Koramangala,medium
garbage,Garbage issue in Indiranagar,bin overflow near apartment. This is happening in Indiranagar near the landmark.,32,1,13,Indiranagar,high
garbage,Garbage issue in HSR Layout,community garbage area needs cleaning. This is happening in HSR Layout near the landmark.,49,1,13,HSR Layout,high
garbage,Garbage issue in HSR Layout,garbage collection truck not coming. This is happening in HSR Layout near the landmark.,30,1,19,HSR Layout,high
garbage,Garbage issue in Koramangala,waste scattered on sidewalk. This is happening in Koramangala near the landmark.,43,1,19,Koramangala,high
garbage,Garbage issue in Jayanagar,waste scattered on sidewalk. This is happening in Jayanagar near the landmark.,13,0,4,Jayanagar,medium
garbage,Garbage issue in HSR Layout,bin overflow near apartment. This is happening in HSR Layout near the landmark.,8,1,1,HSR Layout,medium
garbage,Garbage issue in MG Road,uncollected waste attracting dogs. This is happening in MG Road near the landmark.,40,1,18,MG Road,high
garbage,Garbage issue in Jayanagar,garbage collection truck not coming. This is happening in Jayanagar near the landmark.,30,1,3,Jayanagar,high
garbage,Garbage issue in Indiranagar,community garbage area needs cleaning. This is happening in Indiranagar near the landmark.,4,1,12,Indiranagar,low
garbage,Garbage issue in Malleshwaram,smell coming from garbage dump. This is happening in Malleshwaram near the landmark.,38,0,17,Malleshwaram,high
garbage,Garbage issue in Jayanagar,kachra pileup in corner. This is happening in Jayanagar near the landmark.,11,1,7,Jayanagar,medium
garbage,Garbage issue in Jayanagar,illegal dumping of waste near lake. This is happening in Jayanagar near the landmark.,9,0,14,Jayanagar,medium
garbage,Garbage issue in MG Road,kachra pileup in corner. This is happening in MG Road near the landmark.,42,0,21,MG Road,high
garbage,Garbage issue in Whitefield,bin overflow near apartment. This is happening in Whitefield near the landmark.,32,0,12,Whitefield,high
garbage,Garbage issue in HSR Layout,garbage not collected for many days. This is happening in HSR Layout near the landmark.,7,0,17,HSR Layout,medium
garbage,Garbage issue in Indiranagar,public bin is full and kachra is spilling. This is happening in Indiranagar near the landmark.,16,1,12,Indiranagar,medium
garbage,Garbage issue in Indiranagar,waste scattered on sidewalk. This is happening in Indiranagar near the landmark.,38,0,16,Indiranagar,high
garbage,Garbage issue in Whitefield,community garbage area needs cleaning. This is happening in Whitefield near the landmark.,11,1,14,Whitefield,medium
garbage,Garbage issue in Jayanagar,waste scattered on sidewalk. This is happening in Jayanagar near the landmark.,41,1,16,Jayanagar,high
garbage,Garbage issue in Jayanagar,garbage not collected for many days. This is happening in Jayanagar near the landmark.,22,1,21,Jayanagar,medium
garbage,Garbage issue in Whitefield,illegal dumping of waste near lake. This is happening in Whitefield near the landmark.,43,1,19,Whitefield,high
garbage,Garbage issue in Malleshwaram,kachra pileup in corner. This is happening in Malleshwaram near the landmark.,35,1,0,Malleshwaram,high
garbage,Garbage issue in Koramangala,kachra pileup in corner. This is happening in Koramangala near the landmark.,17,0,14,Koramangala,medium
garbage,Garbage issue in Koramangala,bin overflow near apartment. This is happening in Koramangala near the landmark.,8,1,20,Koramangala,medium
garbage,Garbage issue in MG Road,waste scattered on sidewalk. This is happening in MG Road near the landmark.,50,0,9,MG Road,high
garbage,Garbage issue in Whitefield,garbage collection truck not coming. This is happening in Whitefield near the landmark.,31,0,21,Whitefield,high
garbage,Garbage issue in Koramangala,garbage not collected for many days. This is happening in Koramangala near the landmark.,6,1,4,Koramangala,medium
garbage,Garbage issue in Malleshwaram,bin overflow near apartment. This is happening in Malleshwaram near the landmark.,35,1,5,Malleshwaram,high
garbage,Garbage issue in Indiranagar,garbage collection truck not coming. This is happening in Indiranagar near the landmark.,31,1,8,Indiranagar,high
garbage,Garbage issue in Indiranagar,waste scattered on sidewalk. This is happening in Indiranagar near the landmark.,27,0,22,Indiranagar,high
garbage,Garbage issue in Indiranagar,smell coming from garbage dump. This is happening in Indiranagar near the landmark.,24,0,19,Indiranagar,medium
garbage,Garbage issue in Indiranagar,waste scattered on sidewalk. This is happening in Indiranagar near the landmark.,2,1,20,Indiranagar,low
garbage,Garbage issue in Whitefield,bin overflow near apartment. This is happening in Whitefield near the landmark.,8,0,16,Whitefield,medium
garbage,Garbage issue in Whitefield,garbage collection truck not coming. This is happening in Whitefield near the landmark.,17,1,9,Whitefield,medium
garbage,Garbage issue in Indiranagar,illegal dumping of waste near lake. This is happening in Indiranagar near the landmark.,3,0,8,Indiranagar,low
garbage,Garbage issue in Malleshwaram,community garbage area needs cleaning. This is happening in Malleshwaram near the landmark.,14,0,16,Malleshwaram,medium
garbage,Garbage issue in Koramangala,public bin is full and kachra is spilling. This is happening in Koramangala near the landmark.,37,1,6,Koramangala,high
garbage,Garbage issue in MG Road,smell coming from garbage dump. This is happening in MG Road near the landmark.,35,0,8,MG Road,high
garbage,Garbage issue in MG Road,uncollected waste attracting dogs. This is happening in MG Road near the landmark.,6,0,16,MG Road,medium
garbage,Garbage issue in Jayanagar,illegal dumping of waste near lake. This is happening in Jayanagar near the landmark.,30,1,3,Jayanagar,high
garbage,Garbage issue in Malleshwaram,bin overflow near apartment. This is happening in Malleshwaram near the landmark.,32,0,21,Malleshwaram,high
garbage,Garbage issue in HSR Layout,community garbage area needs cleaning. This is happening in HSR Layout near the landmark.,2,1,23,HSR Layout,low
garbage,Garbage issue in Koramangala,garbage collection truck not coming. This is happening in Koramangala near the landmark.,40,0,0,Koramangala,high
garbage,Garbage issue in Malleshwaram,waste scattered on sidewalk. This is happening in Malleshwaram near the landmark.,44,0,6,Malleshwaram,high
garbage,Garbage issue in Malleshwaram,uncollected waste attracting dogs. This is happening in Malleshwaram near the landmark.,30,1,2,Malleshwaram,high
garbage,Garbage issue in Whitefield,waste scattered on sidewalk. This is happening in Whitefield near the landmark.,10,1,20,Whitefield,medium
garbage,Garbage issue in Malleshwaram,smell coming from garbage dump. This is happening in Malleshwaram near the landmark.,40,0,4,Malleshwaram,high
garbage,Garbage issue in Jayanagar,waste scattered on sidewalk. This is happening in Jayanagar near the landmark.,47,0,12,Jayanagar,high
garbage,Garbage issue in Jayanagar,illegal dumping of waste near lake. This is happening in Jayanagar near the landmark.,27,1,5,Jayanagar,high
garbage,Garbage issue in MG Road,smell coming from garbage dump. This is happening in MG Road near the landmark.,45,0,1,MG Road,high
garbage,Garbage issue in Malleshwaram,illegal dumping of waste near lake. This is happening in Malleshwaram near the landmark.,46,0,20,Malleshwaram,high
garbage,Garbage issue in Jayanagar,garbage not collected for many days. This is happening in Jayanagar near the landmark.,47,1,21,Jayanagar,high
garbage,Garbage issue in HSR Layout,garbage not collected for many days. This is happening in HSR Layout near the landmark.,26,1,0,HSR Layout,high
garbage,Garbage issue in Malleshwaram,illegal dumping of waste near lake. This is happening in Malleshwaram near the landmark.,32,1,9,Malleshwaram,high
garbage,Garbage issue in Whitefield,uncollected waste attracting dogs. This is happening in Whitefield near the landmark.,15,1,16,Whitefield,medium
garbage,Garbage issue in Indiranagar,garbage collection truck not coming. This is happening in Indiranagar near the landmark.,44,0,5,Indiranagar,high
garbage,Garbage issue in Jayanagar,public bin is full and kachra is spilling. This is happening in Jayanagar near the landmark.,18,1,21,Jayanagar,medium
garbage,Garbage issue in HSR Layout,community garbage area needs cleaning. This is happening in HSR Layout near the landmark.,41,0,0,HSR Layout,high
garbage,Garbage issue in Malleshwaram,garbage collection truck not coming. This is happening in Malleshwaram near the landmark.,19,1,23,Malleshwaram,medium
garbage,Garbage issue in Indiranagar,garbage not collected for many days. This is happening in Indiranagar near the landmark.,17,1,7,Indiranagar,medium
garbage,Garbage issue in Indiranagar,illegal dumping of waste near lake. This is happening in Indiranagar near the landmark.,39,1,22,Indiranagar,high
garbage,Garbage issue in HSR Layout,waste scattered on sidewalk. This is happening in HSR Layout near the landmark.,11,1,18,HSR Layout,medium
garbage,Garbage issue in Koramangala,waste scattered on sidewalk. This is happening in Koramangala near the landmark.,32,0,1,Koramangala,high
garbage,Garbage issue in Indiranagar,community garbage area needs cleaning. This is happening in Indiranagar near the landmark.,31,1,1,Indiranagar,high
garbage,Garbage issue in Jayanagar,community garbage area needs cleaning. This is happening in Jayanagar near the landmark.,11,1,10,Jayanagar,medium
garbage,Garbage issue in Jayanagar,kachra pileup in corner. This is happening in Jayanagar near the landmark.,10,1,12,Jayanagar,medium
garbage,Garbage issue in HSR Layout,illegal dumping of waste near lake. This is happening in HSR Layout near the landmark.,35,0,14,HSR Layout,high
garbage,Garbage issue in Koramangala,garbage not collected for many days. This is happening in Koramangala near the landmark.,2,0,18,Koramangala,low
garbage,Garbage issue in Malleshwaram,bin overflow near apartment. This is happening in Malleshwaram near the landmark.,7,1,23,Malleshwaram,medium
garbage,Garbage issue in Jayanagar,kachra pileup in corner. This is happening in Jayanagar near the landmark.,18,0,0,Jayanagar,medium
garbage,Garbage issue in Indiranagar,waste scattered on sidewalk. This is happening in Indiranagar near the landmark.,39,1,0,Indiranagar,high
garbage,Garbage issue in Malleshwaram,uncollected waste attracting dogs. This is happening in Malleshwaram near the landmark.,44,1,3,Malleshwaram,high
garbage,Garbage issue in Indiranagar,waste scattered on sidewalk. This is happening in Indiranagar near the landmark.,26,1,10,Indiranagar,high
garbage,Garbage issue in HSR Layout,smell coming from garbage dump. This is happening in HSR Layout near the landmark.,27,1,21,HSR Layout,high
garbage,Garbage issue in Indiranagar,waste scattered on sidewalk. This is happening in Indiranagar near the landmark.,4,1,13,Indiranagar,low
garbage,Garbage issue in HSR Layout,bin overflow near apartment. This is happening in HSR Layout near the landmark.,23,1,10,HSR Layout,medium
garbage,Garbage issue in MG Road,bin overflow near apartment. This is happening in MG Road near the landmark.,45,1,17,MG Road,high
garbage,Garbage issue in Indiranagar,garbage collection truck not coming. This is happening in Indiranagar near the landmark.,41,0,22,Indiranagar,high
garbage,Garbage issue in Malleshwaram,smell coming from garbage dump. This is happening in Malleshwaram near the landmark.,16,0,19,Malleshwaram,medium
garbage,Garbage issue in HSR Layout,bin overflow near apartment. This is happening in HSR Layout near the landmark.,49,1,19,HSR Layout,high
garbage,Garbage issue in HSR Layout,uncollected waste attracting dogs. This is happening in HSR Layout near the landmark.,33,1,9,HSR Layout,high
garbage,Garbage issue in HSR Layout,kachra pileup in corner. This is happening in HSR Layout near the landmark.,8,1,14,HSR Layout,medium
garbage,Garbage issue in Indiranagar,community garbage area needs cleaning. This is happening in Indiranagar near the landmark.,12,1,0,Indiranagar,medium
garbage,Garbage issue in Indiranagar,waste scattered on sidewalk. This is happening in Indiranagar near the landmark.,11,1,21,Indiranagar,medium
garbage,Garbage issue in Malleshwaram,kachra pileup in corner. This is happening in Malleshwaram near the landmark.,49,1,10,Malleshwaram,high
garbage,Garbage issue in Koramangala,uncollected waste attracting dogs. This is happening in Koramangala near the landmark.,5,0,23,Koramangala,medium
garbage,Garbage issue in HSR Layout,garbage collection truck not coming. This is happening in HSR Layout near the landmark.,22,1,14,HSR Layout,medium
garbage,Garbage issue in Whitefield,illegal dumping of waste near lake. This is happening in Whitefield near the landmark.,50,1,16,Whitefield,high
garbage,Garbage issue in HSR Layout,bin overflow near apartment. This is happening in HSR Layout near the landmark.,27,1,11,HSR Layout,high
garbage,Garbage issue in Malleshwaram,smell coming from garbage dump. This is happening in Malleshwaram near the landmark.,23,0,14,Malleshwaram,medium
garbage,Garbage issue in Indiranagar,community garbage area needs cleaning. This is happening in Indiranagar near the landmark.,11,0,4,Indiranagar,medium
garbage,Garbage issue in Malleshwaram,uncollected waste attracting dogs. This is happening in Malleshwaram near the landmark.,50,1,10,Malleshwaram,high
garbage,Garbage issue in MG Road,smell coming from garbage dump. This is happening in MG Road near the landmark.,28,0,18,MG Road,high
garbage,Garbage issue in Jayanagar,kachra pileup in corner. This is happening in Jayanagar near the landmark.,28,1,15,Jayanagar,high
garbage,Garbage issue in Malleshwaram,smell coming from garbage dump. This is happening in Malleshwaram near the landmark.,2,1,3,Malleshwaram,low
garbage,Garbage issue in MG Road,public bin is full and kachra is spilling. This is happening in MG Road near the landmark.,36,0,17,MG Road,high
garbage,Garbage issue in Indiranagar,illegal dumping of waste near lake. This is happening in Indiranagar near the landmark.,43,1,17,Indiranagar,high
garbage,Garbage issue in HSR Layout,bin overflow near apartment. This is happening in HSR Layout near the landmark.,38,1,15,HSR Layout,high
garbage,Garbage issue in MG Road,kachra pileup in corner. This is happening in MG Road near the landmark.,18,0,12,MG Road,medium
garbage,Garbage issue in Koramangala,garbage not collected for many days. This is happening in Koramangala near the landmark.,13,1,6,Koramangala,medium
garbage,Garbage issue in HSR Layout,illegal dumping of waste near lake. This is happening in HSR Layout near the landmark.,32,0,17,HSR Layout,high
garbage,Garbage issue in Koramangala,public bin is full and kachra is spilling. This is happening in Koramangala near the landmark.,26,1,12,Koramangala,high
garbage,Garbage issue in Whitefield,community garbage area needs cleaning. This is happening in Whitefield near the landmark.,17,1,2,Whitefield,medium
garbage,Garbage issue in HSR Layout,community garbage area needs cleaning. This is happening in HSR Layout near the landmark.,9,1,13,HSR Layout,medium
garbage,Garbage issue in Indiranagar,garbage not collected for many days. This is happening in Indiranagar near the landmark.,6,1,12,Indiranagar,medium
garbage,Garbage issue in Indiranagar,kachra pileup in corner. This is happening in Indiranagar near the landmark.,45,0,17,Indiranagar,high
garbage,Garbage issue in MG Road,bin overflow near apartment. This is happening in MG Road near the landmark.,7,0,1,MG Road,medium
garbage,Garbage issue in Jayanagar,illegal dumping of waste near lake. This is happening in Jayanagar near the landmark.,30,1,5,Jayanagar,high
garbage,Garbage issue in Koramangala,uncollected waste attracting dogs. This is happening in Koramangala near the landmark.,31,0,7,Koramangala,high
garbage,Garbage issue in HSR Layout,smell coming from garbage dump. This is happening in HSR Layout near the landmark.,30,1,8,HSR Layout,high
garbage,Garbage issue in Jayanagar,kachra pileup in corner. This is happening in Jayanagar near the landmark.,17,1,10,Jayanagar,medium
garbage,Garbage issue in Malleshwaram,waste scattered on sidewalk. This is happening in Malleshwaram near the landmark.,37,1,7,Malleshwaram,high
garbage,Garbage issue in Malleshwaram,garbage collection truck not coming. This is happening in Malleshwaram near the landmark.,33,0,18,Malleshwaram,high
garbage,Garbage issue in HSR Layout,smell coming from garbage dump. This is happening in HSR Layout near the landmark.,48,1,22,HSR Layout,high
garbage,Garbage issue in Whitefield,illegal dumping of waste near lake. This is happening in Whitefield near the landmark.,46,0,18,Whitefield,high
garbage,Garbage issue in Jayanagar,uncollected waste attracting dogs. This is happening in Jayanagar near the landmark.,35,0,20,Jayanagar,high
garbage,Garbage issue in Whitefield,waste scattered on sidewalk. This is happening in Whitefield near the landmark.,11,1,3,Whitefield,medium
garbage,Garbage issue in Malleshwaram,community garbage area needs cleaning. This is happening in Malleshwaram near the landmark.,10,1,17,Malleshwaram,medium
garbage,Garbage issue in MG Road,kachra pileup in corner. This is happening in MG Road near the landmark.,48,0,20,MG Road,high
garbage,Garbage issue in Koramangala,waste scattered on sidewalk. This is happening in Koramangala near the landmark.,0,0,9,Koramangala,low
garbage,Garbage issue in Koramangala,uncollected waste attracting dogs. This is happening in Koramangala near the landmark.,25,0,1,Koramangala,medium
garbage,Garbage issue in Koramangala,community garbage area needs cleaning. This is happening in Koramangala near the landmark.,29,1,6,Koramangala,high
garbage,Garbage issue in Whitefield,garbage collection truck not coming. This is happening in Whitefield near the landmark.,10,1,1,Whitefield,medium
garbage,Garbage issue in Whitefield,garbage not collected for many days. This is happening in Whitefield near the landmark.,9,0,8,Whitefield,medium
garbage,Garbage issue in HSR Layout,smell coming from garbage dump. This is happening in HSR Layout near the landmark.,11,0,14,HSR Layout,medium
garbage,Garbage issue in MG Road,waste scattered on sidewalk. This is happening in MG Road near the landmark.,18,0,0,MG Road,medium
garbage,Garbage issue in MG Road,waste scattered on sidewalk. This is happening in MG Road near the landmark.,43,1,7,MG Road,high
garbage,Garbage issue in Whitefield,illegal dumping of waste near lake. This is happening in Whitefield near the landmark.,38,0,7,Whitefield,high
garbage,Garbage issue in Whitefield,bin overflow near apartment. This is happening in Whitefield near the landmark.,0,0,19,Whitefield,low
garbage,Garbage issue in Jayanagar,community garbage area needs cleaning. This is happening in Jayanagar near the landmark.,32,0,6,Jayanagar,high
garbage,Garbage issue in Malleshwaram,garbage collection truck not coming. This is happening in Malleshwaram near the landmark.,10,0,9,Malleshwaram,medium
garbage,Garbage issue in HSR Layout,public bin is full and kachra is spilling. This is happening in HSR Layout near the landmark.,8,1,15,HSR Layout,medium
garbage,Garbage issue in Koramangala,garbage collection truck not coming. This is happening in Koramangala near the landmark.,8,1,22,Koramangala,medium
garbage,Garbage issue in HSR Layout,smell coming from garbage dump. This is happening in HSR Layout near the landmark.,25,1,0,HSR Layout,medium
garbage,Garbage issue in Koramangala,bin overflow near apartment. This is happening in Koramangala near the landmark.,13,0,0,Koramangala,medium
garbage,Garbage issue in Indiranagar,waste scattered on sidewalk. This is happening in Indiranagar near the landmark.,12,0,7,Indiranagar,medium
garbage,Garbage issue in Whitefield,smell coming from garbage dump. This is happening in Whitefield near the landmark.,41,0,3,Whitefield,high
garbage,Garbage issue in Malleshwaram,garbage collection truck not coming. This is happening in Malleshwaram near the landmark.,27,1,0,Malleshwaram,high
water_leakage,Water_leakage issue in HSR Layout,water wasting from broken pipe near park. This is happening in HSR Layout near the landmark.,43,1,20,HSR Layout,high
water_leakage,Water_leakage issue in Jayanagar,pani leakage near metro pillar. This is happening in Jayanagar near the landmark.,27,1,18,Jayanagar,high
water_leakage,Water_leakage issue in Indiranagar,BWSSB pipe burst in my area. This is happening in Indiranagar near the landmark.,28,1,10,Indiranagar,high
water_leakage,Water_leakage issue in Koramangala,drinking water overflowing on road. This is happening in Koramangala near the landmark.,4,1,20,Koramangala,low
water_leakage,Water_leakage issue in Koramangala,pipeline burst on street. This is happening in Koramangala near the landmark.,33,1,10,Koramangala,high
water_leakage,Water_leakage issue in Malleshwaram,pani leaking from main pipe. This is happening in Malleshwaram near the landmark.,7,1,19,Malleshwaram,medium
water_leakage,Water_leakage issue in Whitefield,water coming out from road surface. This is happening in Whitefield near the landmark.,3,0,12,Whitefield,low
water_leakage,Water_leakage issue in MG Road,pani leakage near metro pillar. This is happening in MG Road near the landmark.,37,1,7,MG Road,high
water_leakage,Water_leakage issue in Jayanagar,large amount of water being wasted due to pipe crack. This is happening in Jayanagar near the landmark.,7,0,1,Jayanagar,medium
water_leakage,Water_leakage issue in Malleshwaram,water coming out from road surface. This is happening in Malleshwaram near the landmark.,40,0,11,Malleshwaram,high
water_leakage,Water_leakage issue in MG Road,pani leaking from main pipe. This is happening in MG Road near the landmark.,42,1,23,MG Road,high
water_leakage,Water_leakage issue in Malleshwaram,pani leaking from main pipe. This is happening in Malleshwaram near the landmark.,5,0,0,Malleshwaram,medium
water_leakage,Water_leakage issue in Koramangala,BWSSB pipe burst in my area. This is happening in Koramangala near the landmark.,37,0,22,Koramangala,high
water_leakage,Water_leakage issue in Indiranagar,pani leakage near metro pillar. This is happening in Indiranagar near the landmark.,7,0,17,Indiranagar,medium
water_leakage,Water_leakage issue in Jayanagar,water supply pipe broken. This is happening in Jayanagar near the landmark.,21,0,13,Jayanagar,high
water_leakage,Water_leakage issue in MG Road,water coming out from road surface. This is happening in MG Road near the landmark.,32,1,20,MG Road,high
water_leakage,Water_leakage issue in Malleshwaram,BWSSB pipe burst in my area. This is happening in Malleshwaram near the landmark.,41,1,1,Malleshwaram,high
water_leakage,Water_leakage issue in HSR Layout,leakage in underground water line. This is happening in HSR Layout near the landmark.,20,1,14,HSR Layout,high
water_leakage,Water_leakage issue in Koramangala,pipeline burst on street. This is happening in Koramangala near the landmark.,21,1,19,Koramangala,high
water_leakage,Water_leakage issue in Malleshwaram,water wasting from broken pipe near park. This is happening in Malleshwaram near the landmark.,37,0,9,Malleshwaram,high
water_leakage,Water_leakage issue in Jayanagar,pani leaking from main pipe. This is happening in Jayanagar near the landmark.,23,0,17,Jayanagar,high
water_leakage,Water_leakage issue in Indiranagar,water coming out from road surface. This is happening in Indiranagar near the landmark.,8,0,2,Indiranagar,medium
water_leakage,Water_leakage issue in Koramangala,pani leakage near metro pillar. This is happening in Koramangala near the landmark.,0,0,7,Koramangala,low
water_leakage,Water_leakage issue in MG Road,large amount of water being wasted due to pipe crack. This is happening in MG Road near the landmark.,17,0,4,MG Road,high
water_leakage,Water_leakage issue in Koramangala,water coming out from road surface. This is happening in Koramangala near the landmark.,42,1,17,Koramangala,high
water_leakage,Water_leakage issue in Indiranagar,leakage in underground water line. This is happening in Indiranagar near the landmark.,26,0,9,Indiranagar,high
water_leakage,Water_leakage issue in Jayanagar,water wasting from broken pipe near park. This is happening in Jayanagar near the landmark.,29,1,17,Jayanagar,high
water_leakage,Water_leakage issue in MG Road,pani leakage near metro pillar. This is happening in MG Road near the landmark.,9,1,13,MG Road,medium
water_leakage,Water_leakage issue in Whitefield,BWSSB pipe burst in my area. This is happening in Whitefield near the landmark.,11,0,10,Whitefield,high
water_leakage,Water_leakage issue in Jayanagar,pani leaking from main pipe. This is happening in Jayanagar near the landmark.,12,0,9,Jayanagar,high
water_leakage,Water_leakage issue in MG Road,BWSSB pipe burst in my area. This is happening in MG Road near the landmark.,17,0,18,MG Road,high
water_leakage,Water_leakage issue in Malleshwaram,pani leakage near metro pillar. This is happening in Malleshwaram near the landmark.,5,0,1,Malleshwaram,medium
water_leakage,Water_leakage issue in HSR Layout,leakage in underground water line. This is happening in HSR Layout near the landmark.,3,0,21,HSR Layout,low
water_leakage,Water_leakage issue in Jayanagar,BWSSB pipe burst in my area. This is happening in Jayanagar near the landmark.,50,0,20,Jayanagar,high
water_leakage,Water_leakage issue in Jayanagar,pipeline burst on street. This is happening in Jayanagar near the landmark.,39,0,22,Jayanagar,high
water_leakage,Water_leakage issue in Malleshwaram,pipeline burst on street. This is happening in Malleshwaram near the landmark.,27,1,1,Malleshwaram,high
water_leakage,Water_leakage issue in Koramangala,drinking water overflowing on road. This is happening in Koramangala near the landmark.,18,0,18,Koramangala,high
water_leakage,Water_leakage issue in Indiranagar,BWSSB pipe burst in my area. This is happening in Indiranagar near the landmark.,30,1,3,Indiranagar,high
water_leakage,Water_leakage issue in HSR Layout,BWSSB pipe burst in my area. This is happening in HSR Layout near the landmark.,25,1,17,HSR Layout,high
water_leakage,Water_leakage issue in Indiranagar,pipeline burst on street. This is happening in Indiranagar near the landmark.,29,1,3,Indiranagar,high
water_leakage,Water_leakage issue in Indiranagar,leakage in underground water line. This is happening in Indiranagar near the landmark.,42,1,19,Indiranagar,high
water_leakage,Water_leakage issue in Malleshwaram,water coming out from road surface. This is happening in Malleshwaram near the landmark.,41,1,22,Malleshwaram,high
water_leakage,Water_leakage issue in Malleshwaram,drinking water overflowing on road. This is happening in Malleshwaram near the landmark.,44,1,15,Malleshwaram,high
water_leakage,Water_leakage issue in Malleshwaram,pipeline burst on street. This is happening in Malleshwaram near the landmark.,8,1,12,Malleshwaram,medium
water_leakage,Water_leakage issue in Koramangala,leakage in underground water line. This is happening in Koramangala near the landmark.,32,0,2,Koramangala,high
water_leakage,Water_leakage issue in Koramangala,water wasting from broken pipe near park. This is happening in Koramangala near the landmark.,15,1,8,Koramangala,high
water_leakage,Water_leakage issue in Indiranagar,pani leaking from main pipe. This is happening in Indiranagar near the landmark.,26,0,11,Indiranagar,high
water_leakage,Water_leakage issue in Malleshwaram,water supply pipe broken. This is happening in Malleshwaram near the landmark.,20,0,12,Malleshwaram,high
water_leakage,Water_leakage issue in MG Road,pani leakage near metro pillar. This is happening in MG Road near the landmark.,25,1,23,MG Road,high
water_leakage,Water_leakage issue in HSR Layout,large amount of water being wasted due to pipe crack. This is happening in HSR Layout near the landmark.,25,0,23,HSR Layout,high
water_leakage,Water_leakage issue in Malleshwaram,BWSSB pipe burst in my area. This is happening in Malleshwaram near the landmark.,9,0,0,Malleshwaram,medium
water_leakage,Water_leakage issue in Indiranagar,pani leakage near metro pillar. This is happening in Indiranagar near the landmark.,14,1,12,Indiranagar,high
water_leakage,Water_leakage issue in Whitefield,pipeline burst on street. This is happening in Whitefield near the landmark.,0,0,4,Whitefield,low
water_leakage,Water_leakage issue in Koramangala,large amount of water being wasted due to pipe crack. This is happening in Koramangala near the landmark.,10,0,18,Koramangala,medium
water_leakage,Water_leakage issue in Koramangala,water coming out from road surface. This is happening in Koramangala near the landmark.,19,0,1,Koramangala,high
water_leakage,Water_leakage issue in HSR Layout,water supply pipe broken. This is happening in HSR Layout near the landmark.,46,1,14,HSR Layout,high
water_leakage,Water_leakage issue in Indiranagar,pipeline burst on street. This is happening in Indiranagar near the landmark.,46,0,17,Indiranagar,high
water_leakage,Water_leakage issue in Whitefield,water coming out from road surface. This is happening in Whitefield near the landmark.,31,1,1,Whitefield,high
water_leakage,Water_leakage issue in MG Road,water coming out from road surface. This is happening in MG Road near the landmark.,13,0,11,MG Road,high
water_leakage,Water_leakage issue in HSR Layout,water wasting from broken pipe near park. This is happening in HSR Layout near the landmark.,30,0,8,HSR Layout,high
water_leakage,Water_leakage issue in Whitefield,water supply pipe broken. This is happening in Whitefield near the landmark.,30,1,16,Whitefield,high
water_leakage,Water_leakage issue in HSR Layout,water coming out from road surface. This is happening in HSR Layout near the landmark.,1,0,0,HSR Layout,low
water_leakage,Water_leakage issue in Koramangala,water wasting from broken pipe near park. This is happening in Koramangala near the landmark.,2,1,16,Koramangala,low
water_leakage,Water_leakage issue in Whitefield,large amount of water being wasted due to pipe crack. This is happening in Whitefield near the landmark.,9,0,19,Whitefield,medium
water_leakage,Water_leakage issue in MG Road,pani leaking from main pipe. This is happening in MG Road near the landmark.,20,0,22,MG Road,high
water_leakage,Water_leakage issue in Jayanagar,BWSSB pipe burst in my area. This is happening in Jayanagar near the landmark.,0,0,14,Jayanagar,low
water_leakage,Water_leakage issue in Whitefield,drinking water overflowing on road. This is happening in Whitefield near the landmark.,4,0,18,Whitefield,low
water_leakage,Water_leakage issue in Indiranagar,leakage in underground water line. This is happening in Indiranagar near the landmark.,28,0,2,Indiranagar,high
water_leakage,Water_leakage issue in Malleshwaram,water supply pipe broken. This is happening in Malleshwaram near the landmark.,14,0,7,Malleshwaram,high
water_leakage,Water_leakage issue in Jayanagar,BWSSB pipe burst in my area. This is happening in Jayanagar near the landmark.,46,1,6,Jayanagar,high
water_leakage,Water_leakage issue in HSR Layout,drinking water overflowing on road. This is happening in HSR Layout near the landmark.,36,1,8,HSR Layout,high
water_leakage,Water_leakage issue in Malleshwaram,pipeline burst on street. This is happening in Malleshwaram near the landmark.,26,0,13,Malleshwaram,high
water_leakage,Water_leakage issue in Koramangala,water supply pipe broken. This is happening in Koramangala near the landmark.,45,1,6,Koramangala,high
water_leakage,Water_leakage issue in Whitefield,water coming out from road surface. This is happening in Whitefield near the landmark.,14,0,22,Whitefield,high
